,ID,Job,Jobs_Group,Profile,Remote,Company,State,ExpenditurePerCapita,Low_Salary,High_Salary,Mean_Salary,Education_level,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Skills8,Skills9,Skills10,Skills11,Skills12,Skills13,Skills14,Skills15,Skills16,Skills17,Skills18,Skills19,Skills20,Skills21,Skills22
8576,job_442b951e9315122b,Data Analyst(Remote),Data Analyst,Junior,Remote,"Community Care of West Virginia, Inc.",West Virginia,42931,75000,115000,95000,Bachelor,Excel,Access,Word,Office,SQL,Power BI,Bachelor,PowerPoint,,,,,,,,,,,,,,
8580,job_07fcbae759ef80d3,Data Analyst,Data Analyst,Junior,On_Site,"Creatd, Inc.",New York,46909,80000,110000,95000,Bachelor,Tableau,Google Sheets,SQL,Bachelor,,,,,,,,,,,,,,,,,,
8598,job_24c1c4463fa44baa,Data Analyst,Data Analyst,Junior,Hybrid,University of Central Florida,Florida,46837,56030,56030,56030,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
8654,job_9f53251dceb26009,GOVERNMENT OPERATIONS CONSULTANT II,Data Analyst,Junior,On_Site,The State of Florida,Florida,46837,42777,46000,44388.5,Not specified,,,,,,,,,,,,,,,,,,,,,,
8655,job_1ba2203a14b09cde,INTERDISCIPLINARY OPERATIONS RESEARCH ANALYST,Data Analyst,Junior,On_Site,US Defense Contract Management Agency,Missouri,45976,71099,109908,90503.5,Bachelor,Office,CMA,Bachelor,,,,,,,,,,,,,,,,,,,
8660,job_980b01537a91d500,"Associate Analyst, Advisory Operations",Data Analyst,Junior,On_Site,LPL Financial,California,46181,43663.2,65504,54583.6,Bachelor,Word,Bachelor,,,,,,,,,,,,,,,,,,,,
8662,job_00c6b5d30272d25f,"Analyst, Revenue Operations (ROPS)",Data Analyst,Junior,On_Site,DAVITA,Washington,44377,46920,63480,55200,Bachelor,Tableau,Artificial Intelligence,Office,SQL,Machine Learning,Bachelor,Python,Oracle,,,,,,,,,,,,,,
8667,job_f4bb88c3c6b3889a,Data Analyst,Data Analyst,Junior,Remote,Cranial Technologies,Arizona,43239,60000,75000,67500,Bachelor,Excel,Office,Bachelor,,,,,,,,,,,,,,,,,,,
8692,job_42044b549ec0b2f0,Data Analyst,Data Analyst,Junior,On_Site,Ideon,Nebraska,47520,60000,75000,67500,Not specified,,,,,,,,,,,,,,,,,,,,,,
8737,job_2041d0806d7ef2e8,Data Analyst-FL,Data Analyst,Junior,Remote,MUFG,Florida,46837,65000,80000,72500,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
8739,job_348e6ebda630df24,"Onsite Business Analyst / BI Specialist - Recruitment - New York, NY",Data Analyst,Junior,On_Site,AMS,New York,46909,80000,90000,85000,Not specified,Excel,PowerPoint,,,,,,,,,,,,,,,,,,,,
8788,job_7ee5bd2e5b166487,BI Data Translator,Data Analyst,Junior,On_Site,McLane Company,Texas,43376,75000,95000,85000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
8801,job_7ea06cecf345de7d,Data Analyst,Data Analyst,Junior,Remote,Equitable,North Carolina,43757,67000,100000,83500,Bachelor,Excel,Access,SQL,Bachelor,PowerPoint,Python,Oracle,Hadoop,,,,,,,,,,,,,,
8834,job_a9ab05f0403b5874,Data Analyst,Data Analyst,Junior,Remote,Fred Hutchinson Cancer Research Center,Washington,44377,78075,117113,97594,Bachelor,Excel,Office,Bachelor,,,,,,,,,,,,,,,,,,,
8836,job_94fa5d5e2afaea46,Data Analyst,Data Analyst,Junior,On_Site,McLane Company,Texas,43376,70000,80000,75000,Bachelor,Tableau,Office,SQL,Power BI,Bachelor,AWS,,,,,,,,,,,,,,,,
8861,job_a7f80d055d8afdd2,Analyst - US Global Fund Administration Operations,Data Analyst,Junior,On_Site,BNP Paribas,Pennsylvania,48097,65000,73000,69000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
8868,job_db7a09e380820ea1,Data AnalystAssistant (FT),Data Analyst,Junior,Remote,US Foods,New Hampshire,48697,42320,42320,42320,Not specified,Excel,Access,Word,Office,,,,,,,,,,,,,,,,,,
8879,job_cc77d8533713d040,Data Analyst,Data Analyst,Junior,Hybrid,University of Central Florida,Florida,46837,56030,56030,56030,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
8897,job_f14b0f51720de016,Data Analyst,Data Analyst,Junior,On_Site,Sysco,Kentucky,42620,48300,76100,62200,Bachelor,Excel,PowerPoint,Word,Bachelor,,,,,,,,,,,,,,,,,,
8906,job_d804a438c9da3d47,Data Analyst,Data Analyst,Junior,On_Site,Peraton,Virginia,43921,51000,82000,66500,Not specified,,,,,,,,,,,,,,,,,,,,,,
8944,job_97e6c763c6944e3c,Data Analyst,Data Analyst,Junior,Hybrid,Ally Waste Services,Arizona,43239,50000,60000,55000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
8980,job_ed26427efa9055fb,Data Analyst- Anderson Center,Data Analyst,Junior,On_Site,Cincinnati Children's Hospital,Ohio,45013,62504.8,78862.4,70683.6,Bachelor,SAP,Bachelor,,,,,,,,,,,,,,,,,,,,
8988,job_607462f7cd100738,Data Analyst,Data Analyst,Junior,Remote,Indiana University,Indiana,43717,46000,46000,46000,Bachelor,Office,SQL,Bachelor,Oracle,Agile,,,,,,,,,,,,,,,,,
8991,job_b391bc81dc26b50c,Data Analyst,Data Analyst,Junior,On_Site,The Trade Desk,Colorado,50016,56600,103800,80200,Not specified,Excel,Jira,Artificial Intelligence,Office,SQL,English,,,,,,,,,,,,,,,,
9042,job_7e672f5bb02b98e8,Data Analyst,Data Analyst,Junior,On_Site,North Carolina State University,North Carolina,43757,80454,80454,80454,Master,Tableau,Office,SQL,Power BI,Python,R,Pandas,Master,,,,,,,,,,,,,,
9066,job_3a76c2539339bfe4,Fulfillment Operations and Strategy Analyst,Data Analyst,Junior,On_Site,Macyâ€™s,New York,46909,52440,87480,69960,Not specified,Excel,Access,PowerPoint,Word,,,,,,,,,,,,,,,,,,
9116,job_87931d171fd4235d,Data Analyst,Data Analyst,Junior,Remote,Northrop Grumman,California,46181,77100,115700,96400,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
9118,job_dd1f7c4ba14ef54a,Data Analyst,Data Analyst,Junior,On_Site,GLOBALFOUNDRIES,Vermont,47516,67200,127100,97150,Bachelor,English,Bachelor,,,,,,,,,,,,,,,,,,,,
9120,job_aa92a2a573e0a2e5,Data Analyst,Data Analyst,Junior,Hybrid,Techstars,Colorado,50016,65000,85000,75000,Bachelor,Excel,Salesforce,Bachelor,Spanish,English,,,,,,,,,,,,,,,,,
9125,job_d4d0d8f972451512,Operations Support Analyst,Data Analyst,Junior,On_Site,American States Utility Service,Virginia,43921,54033,91857,72945,Not specified,Access,English,Office,,,,,,,,,,,,,,,,,,,
9128,job_fbc97e3decc5d219,"Inclusion, Diversity, Equity and Accessibility (IDEA) Coordinator | Operations & Policy Analyst 3",Data Analyst,Junior,Hybrid,Oregon Department of Emergency Management,Oregon,42179,70500,103956,87228,Bachelor,Access,Bachelor,,,,,,,,,,,,,,,,,,,,
9133,job_235b590989d158ed,Data Analyst,Data Analyst,Junior,Remote,Booz Allen Hamilton,Virginia,43921,52100,119000,85550,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9141,job_49449dbce6527892,Data Analyst - SIU,Data Analyst,Junior,On_Site,TD Bank,Maine,47676,50140,80500,65320,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
9150,job_bf0e3bf8effd9c7e,"Project Management & Operations Research Analyst, Operations Officer II - Department of General Services",Data Analyst,Junior,On_Site,"City of Baltimore, MD",Maryland,43229,70509,112814,91661.5,Not specified,Power BI,Jira,Office,,,,,,,,,,,,,,,,,,,
9233,job_1f069b10359afe52,Data Analyst,Data Analyst,Junior,Remote,DecisionOne Dental Partners,Illinois,46247,55000,65000,60000,Not specified,Excel,Access,,,,,,,,,,,,,,,,,,,,
9281,job_bacf58a0eea2ff75,BUSINESS INTELLIGENCE DEVELOPER,Data Analyst,Junior,Hybrid,Farm Credit Network,California,46181,90000,90000,90000,Not specified,Excel,Access,Office,SQL,VBA,SAP,C#,,,,,,,,,,,,,,,
9291,job_20ad6f16c76c3749,Operations Research Analyst (Keystone),Data Analyst,Junior,On_Site,US Defense Contract Management Agency,Alabama,41618,48483,63027,55755,Bachelor,Access,Office,PHP,Bachelor,CMA,,,,,,,,,,,,,,,,,
9297,job_05f00c4e2f02ba3a,Data Analyst- Transportation Programs,Data Analyst,Junior,On_Site,"Metropolitan Transit Authority of Houston, Texas",Texas,43376,79296,79296,79296,Bachelor,Excel,Access,Word,Office,SQL,Bachelor,PowerPoint,Oracle,,,,,,,,,,,,,,
9303,job_4981ea31acecd839,Data Analyst- Fed Sales Support,Data Analyst,Junior,On_Site,Juniper Networks,Maryland,43229,63360,97152,80256,Bachelor,Excel,Word,Office,Bachelor,PowerPoint,SAP,English,,,,,,,,,,,,,,,
9306,job_854e0c154b4147ed,Project Specialist II - Transit Operations,Data Analyst,Junior,On_Site,Chicago Transit Authority,Illinois,46247,60000,70000,65000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
9326,job_4f828e95b6aeedf4,Data Analyst) - Remote Work,Data Analyst,Junior,Remote,NextRow Digital,Colorado,50016,59269,129871,94570,Not specified,Power BI,,,,,,,,,,,,,,,,,,,,,
9327,job_565598c35acff1fa,Data Analyst,Data Analyst,Junior,Remote,Galaxy Technologies,California,46181,82000,95000,88500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9332,job_52966b18c3a3cc07,Data AnalystReporting Analyst,Data Analyst,Junior,Remote,Pennsylvania Employees Benefit Trust Fund,Pennsylvania,48097,70325,87610,78967.5,Bachelor,Excel,Access,Word,Office,SQL,Bachelor,PowerPoint,SSRS,,,,,,,,,,,,,,
9339,job_57ce725a981f3c0e,Microsoft Power BI Analyst,Data Analyst,Junior,Remote,GSK solutions Inc,Colorado,50016,101200,110400,105800,Not specified,Power BI,SQL,,,,,,,,,,,,,,,,,,,,
9359,job_948e45b51b1e7824,Data Analyst,Data Analyst,Junior,Remote,Strike Acceptance,Texas,43376,65000,70000,67500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9364,job_3f5f20b23b0b1d75,Associate Governmental Program Analyst (Operations Support Analyst),Data Analyst,Junior,Remote,California Department of Public Health,California,46181,66216,82884,74550,Bachelor,Excel,Word,Office,Bachelor,PowerPoint,,,,,,,,,,,,,,,,,
9370,job_e89dfd5f6e4dff5b,Data Analyst,Data Analyst,Junior,On_Site,Agile tech labs,New York,46909,82800,92000,87400,Master,Excel,Word,English,Agile,Master,,,,,,,,,,,,,,,,,
9392,job_d6b5d0af867ab553,Enterprise Engineer,Data Engineer,Junior,Remote,Division of Information Technology - NYC...,New York,46909,90000,120000,105000,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
9393,job_87041b0be80ede48,Data Analyst,Data Analyst,Junior,On_Site,Hanwha Advanced Materials America,Michigan,45641,55000,65000,60000,Bachelor,Excel,Office,Bachelor,SAP,ERP,,,,,,,,,,,,,,,,,
9419,job_9cc7ba6874a59113,Data Analyst - High Risk Customer Investigations,Data Analyst,Junior,On_Site,TD Bank,Maine,47676,44160,71300,57730,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
9420,job_81db7ac53c5d97fb,Data Analyst-Rev Cycle-Remote,Data Analyst,Junior,Remote,Mayo Clinic,Minnesota,46604,74818,104749,89783.5,Master,Master,Bachelor,,,,,,,,,,,,,,,,,,,,
9426,job_6cd379a638fac81a,Data Analystâ€“Â Hospital Operations Project Management Office,Data Analyst,Junior,On_Site,NewYork-Presbyterian Hospital,New York,46909,74000,102000,88000,Master,Master,Office,Bachelor,,,,,,,,,,,,,,,,,,,
9452,job_6fb6042e0d8aa1de,Data Analyst,Data Analyst,Junior,On_Site,Tenaris,Pennsylvania,48097,80000,90000,85000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9460,job_4362a2fb2522b6d6,Data Analyst,Data Analyst,Junior,Remote,Salem University,West Virginia,42931,65000,70000,67500,MBA,Excel,MBA,Office,Power BI,Bachelor,,,,,,,,,,,,,,,,,
9495,job_e5769e383f234938,Data Analyst,Data Analyst,Junior,On_Site,Vulcan Materials Company,California,46181,80000,100000,90000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9504,job_1aed14233eb907f1,"NAM Enterprise Operations and Technology, Full Time Technology Analyst â€“ Tampa (US - 2024)",Data Analyst,Junior,Hybrid,Citi,Florida,46837,80000,80000,80000,Bachelor,Access,C++,Office,Java,Bachelor,,,,,,,,,,,,,,,,,
9509,job_742350fe352b6ea1,Data Analyst,Data Analyst,Junior,On_Site,Centers Plan for Healthy Living,New York,46909,50000,70000,60000,Master,Tableau,Access,Office,SQL,Bachelor,Sisense,Master,,,,,,,,,,,,,,,
9539,job_6508b1dedd6b30ef,Data AnalystAssociate,Data Analyst,Junior,Remote,Arizona State University,Arizona,43239,47559,70000,58779.5,Bachelor,Tableau,Word,SQL,Power BI,Bachelor,Python,R,,,,,,,,,,,,,,,
9555,job_95844c4f8341bd0b,Product Owner (Operations & Policy Analyst 3),Data Analyst,Junior,Remote,Department of Justice,Oregon,42179,70500,103956,87228,Not specified,Agile,Office,,,,,,,,,,,,,,,,,,,,
9589,job_8bccdf7c0b0baa58,Reproductive Health Capacity Building Specialist (Operations & Policy Analyst 2),Data Analyst,Junior,Remote,Oregon Health Authority,Oregon,42179,56316,86160,71238,Not specified,Spanish,English,Office,,,,,,,,,,,,,,,,,,,
9631,job_d9d348517e928936,Data Analyst(Hiring ASAP),Data Analyst,Junior,On_Site,FLAG,Texas,43376,75000,100000,87500,Bachelor,Excel,SQL,Power BI,Bachelor,SSAS,DAX,SSIS,SAP,ERP,,,,,,,,,,,,,
9641,job_35ca92116f8839d9,Data Analyst,Data Analyst,Junior,Remote,TrackCore,Michigan,45641,50000,65000,57500,Not specified,Azure,SQL,,,,,,,,,,,,,,,,,,,,
9655,job_c4d6f9f0c8dbcd50,Data Analyst,Data Analyst,Junior,On_Site,Elevate Holdings Inc,California,46181,75000,85000,80000,Not specified,PowerPoint,Office,,,,,,,,,,,,,,,,,,,,
9656,job_de750aae3ce7634e,"Data Analyst, EPM)",Data Analyst,Junior,On_Site,Lynx Solutions,California,46181,64480,64480,64480,Bachelor,Excel,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
9658,job_47fd925f661dc93b,Data Analyst,Data Analyst,Junior,On_Site,Sedron Technologies,Washington,44377,70000,105000,87500,Bachelor,English,Office,Bachelor,,,,,,,,,,,,,,,,,,,
9671,job_53c4e8d2320f78b9,Data Analyst,Data Analyst,Junior,Remote,Flynn Restaurant Group,Ohio,45013,27600,46000,36800,Not specified,Power BI,Office,,,,,,,,,,,,,,,,,,,,
9680,job_07fc6614c4cd3b7f,"Analyst, Sales Strategy & Operations",Data Analyst,Junior,On_Site,Salesforce,New York,46909,88100,121100,104600,Not specified,Excel,Salesforce,Tableau,SQL,PowerPoint,Python,,,,,,,,,,,,,,,,
9699,job_22554ee458596fcd,Operations Support Analyst,Data Analyst,Junior,On_Site,Orion,California,46181,62560,62560,62560,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9717,job_df63b757861c20f5,BI Analyst Intermediate,Data Analyst,Junior,Remote,University of Michigan,Michigan,45641,72680,72680,72680,Master,Excel,Office,SQL,HTML,ERP,Master,,,,,,,,,,,,,,,,
9733,job_34e215ade72b2126,Data Analyst,Data Analyst,Junior,Remote,Arizona State University,Arizona,43239,66535,82500,74517.5,Bachelor,Tableau,Word,SQL,Power BI,Bachelor,Python,R,,,,,,,,,,,,,,,
9749,job_2ae0140bd0e8f444,Tier 1 Security Operations Center Analyst (Security Analyst III),Data Analyst,Junior,Remote,Elevance Health,Indiana,43717,77440,139392,108416,Bachelor,Python,C++,Bachelor,,,,,,,,,,,,,,,,,,,
9750,job_cf5d9e9518d3d6f8,Data Governance Analyst,Data Analyst,Junior,Remote,Arizona Healthcare,Arizona,43239,57200,60000,58600,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
9813,job_6ddd8093ab2be2e6,Data Visualization Engineer / BI Analyst,Data Analyst,Junior,Remote,InnovaSystems,Virginia,43921,75000,85000,80000,Not specified,Tableau,Office,SQL,Power BI,Cognos,Power Query,Agile,Qlik,,,,,,,,,,,,,,
9815,job_d4f438d8f93f911e,Data Analyst/ Coordinator,Data Analyst,Junior,On_Site,RP Marzilli,Massachusetts,50585,80000,80000,80000,Not specified,PowerPoint,Office,,,,,,,,,,,,,,,,,,,,
9816,job_153e8dff0fc6cd5b,Data Analyst,Data Analyst,Junior,On_Site,"NextDeavor, Inc.",California,46181,82800,95146.4,88973.2,Bachelor,SAP,Bachelor,,,,,,,,,,,,,,,,,,,,
9819,job_c2e5c4296566739d,Data Analyst,Data Analyst,Junior,Remote,Aeroflow Healthcare,North Carolina,43757,50000,50000,50000,Bachelor,Access,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
9822,job_aadb4901f6a2e3ea,Data Analyst- Import/Export,Data Analyst,Junior,On_Site,Eastern Shipping Worldwide,Illinois,46247,45000,60000,52500,Not specified,,,,,,,,,,,,,,,,,,,,,,
9823,job_720aa3f4d7853a03,Data Analyst,Data Analyst,Junior,Remote,Cell O Core,Ohio,45013,51405,51405,51405,Master,Excel,Master,Bachelor,,,,,,,,,,,,,,,,,,,
9832,job_50d1077881f85fe5,Data Analyst,Data Analyst,Junior,Remote,BOK Financial,Oklahoma,40816,50000,80000,65000,Bachelor,Power BI,Office,SAP,Bachelor,,,,,,,,,,,,,,,,,,
9872,job_72f952b111370dba,Data Analyst,Data Analyst,Junior,On_Site,BranexGroup,Michigan,45641,82800,82800,82800,Bachelor,Excel,Access,Word,SQL,Power BI,Bachelor,PowerPoint,Oracle,,,,,,,,,,,,,,
9873,job_bf40fb37ba380cb0,SharePoint with Power BI Consultant ( Public Trust clearance),Data Analyst,Junior,On_Site,Precision Technology,Maryland,43229,73600,77280,75440,Bachelor,Power BI,Office,Bachelor,,,,,,,,,,,,,,,,,,,
9879,job_f777034dcdc64530,Data Analyst,Data Analyst,Junior,Remote,CEVA Logistics,Indiana,43717,85000,85000,85000,Bachelor,Excel,CMA,Bachelor,,,,,,,,,,,,,,,,,,,
9881,job_a71008ac69bdf0d2,Data Analyst,Data Analyst,Junior,On_Site,Charlie Health,New York,46909,70000,110000,90000,Bachelor,Tableau,Salesforce,SQL,Bachelor,Looker,English,,,,,,,,,,,,,,,,
9892,job_1f46d541650c41c9,Data Analyst,Data Analyst,Junior,On_Site,Park Computer Systems,Pennsylvania,48097,36800,46920,41860,Bachelor,English,Spanish,Bachelor,,,,,,,,,,,,,,,,,,,
9897,job_a85945601b9fc73c,Operations Workforce Performance Analyst,Data Analyst,Junior,Remote,The Assistance Fund,Florida,46837,48000,53000,50500,Bachelor,Bachelor,Salesforce,Office,AWS,,,,,,,,,,,,,,,,,,
9917,job_7de500c2d0b78ca3,Data Analyst - (IT Data Management - Journey),Data Analyst,Junior,On_Site,State of Washington Housing Finance Commission,Washington,44377,80064,107676,93870,Not specified,Power BI,Navision,SQL,,,,,,,,,,,,,,,,,,,
9926,job_14fe7d4fc08670f9,Data Analyst,Data Analyst,Junior,Hybrid,INTEL,Oregon,42179,70680,106220,88450,Bachelor,Excel,Power BI,HTML,Bachelor,,,,,,,,,,,,,,,,,,
9937,job_332c7eeb584ba165,"Market Sales and Service Analyst - DMV Market (DC, Maryland, Virginia)- Hybrid",Data Analyst,Junior,Hybrid,Citi,District Of Columbia,65469,81150,121730,101440,Bachelor,Access,Bachelor,,,,,,,,,,,,,,,,,,,,
9969,job_8f2a0586b9cfccc8,Data Analyst,Data Analyst,Junior,On_Site,Columbia University,New York,46909,73000,80000,76500,Not specified,Tableau,Office,SQL,Power BI,Python,,,,,,,,,,,,,,,,,
9983,job_5c45ef0e7694e97e,Data Analyst,Data Analyst,Junior,On_Site,University of Utah,Utah,43957,69000,78000,73500,Bachelor,Tableau,Office,SQL,Bachelor,Oracle,,,,,,,,,,,,,,,,,
9988,job_cdc684a830e23fa9,Data Analyst- Remote,Data Analyst,Junior,Remote,Healogics,Florida,46837,52800,70000,61400,Bachelor,Excel,Salesforce,PowerPoint,Bachelor,,,,,,,,,,,,,,,,,,
9997,job_93ad41e10c4bb75a,Data Analyst- Remote,Data Analyst,Junior,Remote,Healthe systems,Florida,46837,56300,77400,66850,Bachelor,Access,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
10003,job_374ddc073b2bcf06,Data Analyst,Data Analyst,Junior,On_Site,ADT,Delaware,47973,43575,87150,65362.5,Not specified,Excel,Access,Word,Office,,,,,,,,,,,,,,,,,,
10024,job_24a36839729c8eb7,Power BI Analyst,Data Analyst,Junior,On_Site,Forward Thinking Technology Solutions,Pennsylvania,48097,70000,90000,80000,Bachelor,Tableau,Jira,SQL,Power BI,Bachelor,DAX,Qlik,,,,,,,,,,,,,,,
10042,job_8cbceb2909dcfed2,Data Analyst,Data Analyst,Junior,Remote,Strike Acceptance,California,46181,65000,70000,67500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
10048,job_d19095b9a59eee41,Sales and Operations Support Specialist/Analyst,Data Analyst,Junior,On_Site,Master Halco,Washington,44377,45080,70840,57960,Master,Excel,Word,Office,PowerPoint,Master,,,,,,,,,,,,,,,,,
10051,job_109f1d92a98f507f,BI Analyst (Korean Speaking),Data Analyst,Junior,On_Site,Snelling Staffing,New Jersey,47607,100000,102000,101000,Bachelor,Excel,Tableau,Word,SQL,Power BI,Bachelor,PowerPoint,SSAS,DAX,SSIS,Azure,English,,,,,,,,,,
10091,job_9d073408d3f607eb,Data Analyst,Data Analyst,Junior,Hybrid,MotorTrend Group,California,46181,75500,130000,102750,Bachelor,Excel,Tableau,SQL,Bachelor,Python,Adobe Analytics,,,,,,,,,,,,,,,,
10156,job_ba168089d608e29a,Data Analyst-Hybrid,Data Analyst,Junior,Hybrid,Citi,New York,46909,53620,74810,64215,Bachelor,Excel,Access,Office,Bachelor,PowerPoint,,,,,,,,,,,,,,,,,
10176,job_4ebf273a6d22e422,Data Analyst - IV (DOE) (Anchorage),Data Analyst,Junior,Hybrid,ALASKA HOUSING FINANCE CORPORATION,Alaska,50004,71694,71694,71694,Bachelor,Excel,Access,Word,Office,SQL,PHP,Bachelor,,,,,,,,,,,,,,,
10216,job_76e4df787ff5c969,Data Analyst(Vault) - Daily Pay,Data Analyst,Junior,On_Site,GardaWorld Cash,Texas,43376,36800,36800,36800,Bachelor,Access,Office,Bachelor,,,,,,,,,,,,,,,,,,,
10286,job_304f128403c079ab,ELIGIBILITY SYSTEM TESTER (MANAGEMENT OPERATIONS ANALYST I),Data Analyst,Junior,Remote,State of Illinois,Illinois,46247,59784,88428,74106,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
10289,job_927017b3d4a1dcf9,Data Analystw/ Looker Exp.,Data Analyst,Junior,On_Site,Motion Recruitment,Massachusetts,50585,82800,119600,101200,Master,SQL,Power BI,Bachelor,Looker,Master,,,,,,,,,,,,,,,,,
10302,job_0f4b6e595a422473,Data Analyst- Real Estate and Loan Operations,Data Analyst,Junior,Hybrid,U.S. Bank National Association,Minnesota,46604,61115,79090,70102.5,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
10311,job_1e88dcd79360d869,LPI OPERATIONS ANALYST,Data Analyst,Junior,On_Site,Liberty Oilfield Services,Texas,43376,90000,120000,105000,Bachelor,Excel,ERP,Bachelor,,,,,,,,,,,,,,,,,,,
10315,job_f37db2c318424f2e,Data Analyst,Data Analyst,Junior,On_Site,Party City,New Jersey,47607,80000,85000,82500,Bachelor,Excel,PowerPoint,Dash,Bachelor,,,,,,,,,,,,,,,,,,
10339,job_88d25e05d8c1ad7c,Data Analyst,Data Analyst,Junior,Remote,ASP | Relevant Software Corporation,District Of Columbia,65469,90000,110000,100000,Bachelor,Excel,CPA,Tableau,Bachelor,,,,,,,,,,,,,,,,,,
10358,job_7a58c67c700ebe39,Data Analyst,Data Analyst,Junior,On_Site,HCL America Inc,California,46181,80000,100000,90000,Not specified,Hyperion,Agile,Qlik,SQL,,,,,,,,,,,,,,,,,,
10360,job_e64a3ee8fd334713,Data Analyst/Associate,Data Analyst,Junior,On_Site,TD Witz Associates,New York,46909,90000,125000,107500,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
10363,job_6f1c5483e55ff2a4,IT OPERATIONS SUPPORT ANALYST- IT GRC DEPARTMENT - FIRSTBANK PR,Data Analyst,Junior,On_Site,FirstBank Puerto Rico,Puerto Rico,#N/A,55000,65000,60000,Bachelor,Office,SQL,Bachelor,Spanish,English,,,,,,,,,,,,,,,,,
10365,job_d0abba9b8903da17,Data Analyst,Data Analyst,Junior,On_Site,"NextDeavor, Inc.",California,46181,88320,96912.8,92616.4,Bachelor,SAP,Bachelor,,,,,,,,,,,,,,,,,,,,
10380,job_42c95aad86d38a6b,Data Analyst(NYC - Hybrid),Data Analyst,Junior,Hybrid,Gynger,New York,46909,60000,80000,70000,Bachelor,SQL,Bachelor,,,,,,,,,,,,,,,,,,,,
10395,job_522bec3d696c9346,Data Analystand Coordinator,Data Analyst,Junior,On_Site,"Olivet International, Inc.",New York,46909,75000,85000,80000,Master,Excel,Word,Office,Bachelor,PowerPoint,Master,,,,,,,,,,,,,,,,
10399,job_1a1ff9b85b9650da,Data AnalystBilingual,Data Analyst,Junior,On_Site,Cordialsa USA,New Jersey,47607,45000,52000,48500,Not specified,Spanish,English,Office,SAP,,,,,,,,,,,,,,,,,,
10403,job_80d7a5f405765a58,Data Analyst,Data Analyst,Junior,Remote,Mississippi Department of Information Technology...,Mississippi,39154,65780,86336,76058,Not specified,,,,,,,,,,,,,,,,,,,,,,
10414,job_b621becd780bbbac,OSPHD Procedures and Special Projects Coordinator(Operations and Policy Analyst 1),Data Analyst,Junior,Remote,Oregon Health Authority,Oregon,42179,46620,71232,58926,Not specified,Excel,Word,Office,,,,,,,,,,,,,,,,,,,
10450,job_f837c857a28ab185,Data & BI Analyst II,Data Analyst,Junior,On_Site,Edward Jones,Missouri,45976,78795,134163,106479,Bachelor,Access,SQL,Java,Bachelor,VBA,Oracle,HTML,,,,,,,,,,,,,,,
10452,job_f7ec0a3a4fa4800c,"Analyst, Strategy and Operations - HYBRID",Data Analyst,Junior,Hybrid,DAVITA,Colorado,50016,51400,75500,63450,Bachelor,Excel,PowerPoint,Word,Bachelor,,,,,,,,,,,,,,,,,,
10454,job_91cb9c67ba7002e8,Operations Research Analyst,Data Analyst,Junior,On_Site,U.S. Army Acquisition Support Center,Alabama,41618,39139,97468,68303.5,Bachelor,HTML,Office,Bachelor,,,,,,,,,,,,,,,,,,,
10459,job_a7982ce5e0de0fb8,OPERATIONS ANALYST II,Data Analyst,Junior,On_Site,The State of Florida,Florida,46837,39000,42000,40500,Not specified,Excel,PowerPoint,Word,Office,,,,,,,,,,,,,,,,,,
10462,job_7f97926839552f9d,Data Analyst,Data Analyst,Junior,On_Site,NuStar Energy,Washington,44377,46993.6,55292,51142.8,Not specified,Excel,SAP,,,,,,,,,,,,,,,,,,,,
10467,job_a66d1e6546dd04e4,Operations Contract Analyst,Data Analyst,Junior,On_Site,San Mateo County Transit District,California,46181,71907.2,107879.2,89893.2,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
10473,job_d3cc9a214ba97c90,Data Analyst(Contractor),Data Analyst,Junior,On_Site,SentinelOne,Oregon,42179,80000,110000,95000,Bachelor,Salesforce,Artificial Intelligence,Bachelor,,,,,,,,,,,,,,,,,,,
